index,RA,DEC,n419 flux (ujy),n419 flux err (ujy),rg flux (ujy),rg flux err (ujy),g flux (ujy),g flux err (ujy),r flux (ujy),r flux err (ujy),i flux (ujy),i flux err (ujy),z flux (ujy),z flux err (ujy),n501 flux (ujy),n501 flux err (ujy),estimated line flux (cgs),estimated EW_rf (A),estimated EW_rf error (A)
2400,15.41006162991601,-0.9114985591763836,0.40004984,0.0470552,0.048599754,0.016159933,0.068401136,0.015629167,0.14934197,0.017562576,0.001245847,0.10151308,0.11008596,0.2149535,0.056051154,0.047585785,4.58778131675736e-17,517.774239913938,401.46996039060537
3547,15.43707307751873,-0.8911979458640987,0.72002465,0.045083936,0.17448433,0.026885908,0.16111091,0.01595275,0.13427773,0.018091856,3.6307804e-07,0.101871505,3.6307804e-07,0.1765703,0.17485322,0.047188334,7.121408664654108e-17,116.56340921575413,27.035472377120925
4336,14.836187553978696,-0.8772352465482687,1.1968609,0.05076764,0.46351328,0.027994016,0.41451806,0.016193606,0.32114005,0.016292287,0.02503632,0.0907124,3.6307804e-07,0.15593973,0.44075593,0.04657323,9.573019452112113e-17,51.05362669448807,7.106653341257829
4474,14.90942761909501,-0.8745297177677306,0.40303022,0.05073912,0.1825316,0.015510921,0.27432448,0.016084379,0.69581175,0.017066594,0.8125813,0.090251476,1.0930071,0.1596547,0.33165157,0.046084657,2.8783588040060416e-17,38.12395995985493,10.64318028302872
4581,15.396726298017738,-0.8742686851580888,0.60546553,0.046446834,0.20067008,0.025128959,0.19173339,0.015665025,0.1727813,0.01713396,0.3038446,0.10090169,3.6307804e-07,0.22736894,0.1679562,0.04596113,5.28414439659118e-17,67.36311750050972,15.102120855746437
5269,14.857683603820108,-0.8611537688382821,0.3383489,0.048575033,0.16385339,0.020989979,0.18283881,0.015842443,0.23488344,0.01602772,0.25489518,0.08320874,0.51666325,0.18254688,0.14593932,0.044494938,2.2778405028930544e-17,33.42392256173137,12.187558959287646
5498,15.49032156751544,-0.8608193595567734,0.57188773,0.042799883,0.25870296,0.020488545,0.28068677,0.014940812,0.3381806,0.01575347,0.15352078,0.08268214,0.38416514,0.17659646,0.23821624,0.042198453,4.088271119384365e-17,38.21037037758273,8.080330013126515
5713,14.854805697592177,-0.8560412011024743,0.69439095,0.049789693,0.14318047,0.021244323,0.15484142,0.015465688,0.1851723,0.015799109,0.2838229,0.081965245,0.34808832,0.18397537,0.17985907,0.044811137,7.195426157172304e-17,156.25599975117962,35.95133505122871
6525,15.428032737104925,-0.8437204159792513,0.46258226,0.043609753,0.23216905,0.017624894,0.30186108,0.015696775,0.5498852,0.016566578,0.76304185,0.09274162,1.5586835,0.15737645,0.22544594,0.04469673,3.0077825047739215e-17,31.09012221935132,7.891784594797819
6630,15.512412567863144,-0.8424473633203574,0.28802687,0.04097245,0.079897605,0.019179216,0.08978428,0.014602725,0.11720952,0.01453588,0.18884812,0.08476231,0.6483609,0.15680686,0.15677917,0.040227953,2.7168909369321978e-17,91.91107762903351,36.06970227225533
